sentence,skill,label
Have read the documentation for Linux but limited practical use.,Linux,Beginner
Have shipped a couple of side projects built with Kubernetes.,Kubernetes,Intermediate
Only used Tailwind CSS in a couple of homework assignments.,Tailwind CSS,Beginner
Five years of professional experience with AWS.,AWS,Expert
Contributed to a project using Linux during an internship.,Linux,Intermediate
Developed features using Java in a small team.,Java,Intermediate
Took an online tutorial on React.,React,Beginner
Following a beginner course on Node.js right now.,Node.js,Beginner
Optimized performance-critical systems built with PostgreSQL.,PostgreSQL,Expert
Worked with Linux for several months on a team project.,Linux,Intermediate
Have shipped a couple of side projects built with MongoDB.,MongoDB,Intermediate
Currently learning PHP as part of a bootcamp.,PHP,Beginner
Contributed to open-source projects related to Machine Learning.,Machine Learning,Expert
Extensive production experience with AWS at scale.,AWS,Expert
Two years of hands-on experience with C++.,C++,Intermediate
Contributed to open-source projects related to NestJS.,NestJS,Expert
Studied the fundamentals of Tailwind CSS in class.,Tailwind CSS,Beginner
Following a beginner course on Tailwind CSS right now.,Tailwind CSS,Beginner
Only used REST API in a couple of homework assignments.,REST API,Beginner
Built and maintained mission-critical infrastructure with CI/CD.,CI/CD,Expert
Applied TensorFlow to solve practical problems in coursework.,TensorFlow,Intermediate
Have shipped a couple of side projects built with C++.,C++,Intermediate
Basic understanding of Docker.,Docker,Beginner
Mentored junior developers on best practices in C++.,C++,Expert
Architected scalable solutions using AWS for enterprise clients.,AWS,Expert
Can independently build features using Linux with some guidance.,Linux,Intermediate
Five years of professional experience with Node.js.,Node.js,Expert
Built a full application using Flask.,Flask,Intermediate
Implemented core functionality with Node.js in a group project.,Node.js,Intermediate
Contributed to a project using PHP during an internship.,PHP,Intermediate
Contributed to open-source projects related to TensorFlow.,TensorFlow,Expert
Contributed to open-source projects related to CI/CD.,CI/CD,Expert
Built and maintained mission-critical infrastructure with Machine Learning.,Machine Learning,Expert
Familiar with TensorFlow through coursework.,TensorFlow,Beginner
Published technical talks on advanced Django techniques.,Django,Expert
Studied the fundamentals of C++ in class.,C++,Beginner
"Deep expertise in Python, including advanced patterns and internals.",Python,Expert
Studied the fundamentals of Kubernetes in class.,Kubernetes,Beginner
Only used Kubernetes in a couple of homework assignments.,Kubernetes,Beginner
Contributed to a project using Deep Learning during an internship.,Deep Learning,Intermediate
Following a beginner course on PHP right now.,PHP,Beginner
Trained the engineering team on advanced Docker concepts.,Docker,Expert
Used React to build a personal project.,React,Intermediate
Drove major performance improvements in a MongoDB-based system.,MongoDB,Expert
Completed an introductory course in Kubernetes.,Kubernetes,Beginner
Regularly use Next.js for day-to-day development tasks.,Next.js,Intermediate
Solid working knowledge of Go from an internship.,Go,Intermediate
Regularly use Java for day-to-day development tasks.,Java,Intermediate
Developed features using PyTorch in a small team.,PyTorch,Intermediate
Designed the core architecture of a large-scale TensorFlow application.,TensorFlow,Expert
Owned the technical roadmap for a major AWS migration.,AWS,Expert
Took an online tutorial on SQL.,SQL,Beginner
Contributed to open-source projects related to Redis.,Redis,Expert
Exposed to C++ during a university project.,C++,Beginner
Recognized internally as the go-to expert on Machine Learning.,Machine Learning,Expert
Have shipped a couple of side projects built with Tailwind CSS.,Tailwind CSS,Intermediate
Wrote a few small scripts using Django.,Django,Beginner
Owned the technical roadmap for a major TypeScript migration.,TypeScript,Expert
Published technical talks on advanced GraphQL techniques.,GraphQL,Expert
Started exploring Kubernetes recently.,Kubernetes,Beginner
Used C++ extensively during a semester-long project.,C++,Intermediate
Optimized performance-critical systems built with CI/CD.,CI/CD,Expert
Built and maintained mission-critical infrastructure with Git.,Git,Expert
Basic understanding of Linux.,Linux,Beginner
Drove major performance improvements in a Docker-based system.,Docker,Expert
Five years of professional experience with Git.,Git,Expert
Mentored junior developers on best practices in AWS.,AWS,Expert
Regularly use Redis for day-to-day development tasks.,Redis,Intermediate
Owned the technical roadmap for a major Docker migration.,Docker,Expert
Basic understanding of TypeScript.,TypeScript,Beginner
"New to CI/CD, still getting comfortable with the basics.",CI/CD,Beginner
Familiar with GraphQL through coursework.,GraphQL,Beginner
Owned the technical roadmap for a major PostgreSQL migration.,PostgreSQL,Expert
Exposed to CI/CD during a university project.,CI/CD,Beginner
Contributed to open-source projects related to GraphQL.,GraphQL,Expert
Have shipped a couple of side projects built with Java.,Java,Intermediate
Optimized performance-critical systems built with C++.,C++,Expert
Architected scalable solutions using Django for enterprise clients.,Django,Expert
Can independently build features using Tailwind CSS with some guidance.,Tailwind CSS,Intermediate
Five years of professional experience with Python.,Python,Expert
Five years of professional experience with Go.,Go,Expert
Took an online tutorial on NestJS.,NestJS,Beginner
Owned the technical roadmap for a major Node.js migration.,Node.js,Expert
Designed the core architecture of a large-scale Node.js application.,Node.js,Expert
Used PostgreSQL extensively during a semester-long project.,PostgreSQL,Intermediate
Comfortable writing PHP code for medium-sized applications.,PHP,Intermediate
Currently learning Flask as part of a bootcamp.,Flask,Beginner
Can independently build features using NestJS with some guidance.,NestJS,Intermediate
Drove major performance improvements in a PyTorch-based system.,PyTorch,Expert
Trained the engineering team on advanced Flask concepts.,Flask,Expert
Regularly use MongoDB for day-to-day development tasks.,MongoDB,Intermediate
Used Flask to build a personal project.,Flask,Intermediate
Exposed to TensorFlow during a university project.,TensorFlow,Beginner
Beginner-level knowledge of PostgreSQL.,PostgreSQL,Beginner
Took an online tutorial on C++.,C++,Beginner
Drove major performance improvements in a Git-based system.,Git,Expert
Owned the technical roadmap for a major Next.js migration.,Next.js,Expert
Contributed to open-source projects related to Go.,Go,Expert
Used C++ to build a personal project.,C++,Intermediate
Architected scalable solutions using Git for enterprise clients.,Git,Expert
Contributed to open-source projects related to C++.,C++,Expert
Contributed to open-source projects related to REST API.,REST API,Expert
Have read the documentation for Django but limited practical use.,Django,Beginner
One year of experience working with PHP.,PHP,Intermediate
Wrote a few small scripts using PyTorch.,PyTorch,Beginner
Regularly use Go for day-to-day development tasks.,Go,Intermediate
Extensive production experience with Next.js at scale.,Next.js,Expert
Published technical talks on advanced Deep Learning techniques.,Deep Learning,Expert
Basic understanding of React.,React,Beginner
Five years of professional experience with JavaScript.,JavaScript,Expert
Five years of professional experience with PHP.,PHP,Expert
Published technical talks on advanced Next.js techniques.,Next.js,Expert
Designed the core architecture of a large-scale Linux application.,Linux,Expert
Can independently build features using SQL with some guidance.,SQL,Intermediate
Drove major performance improvements in a Redis-based system.,Redis,Expert
Trained the engineering team on advanced Deep Learning concepts.,Deep Learning,Expert
Owned the technical roadmap for a major PHP migration.,PHP,Expert
Solid working knowledge of CI/CD from an internship.,CI/CD,Intermediate
Took an online tutorial on Git.,Git,Beginner
Extensive production experience with React at scale.,React,Expert
Regularly use Node.js for day-to-day development tasks.,Node.js,Intermediate
Started exploring JavaScript recently.,JavaScript,Beginner
Drove major performance improvements in a Flask-based system.,Flask,Expert
"New to Django, still getting comfortable with the basics.",Django,Beginner
Recognized internally as the go-to expert on Kubernetes.,Kubernetes,Expert
Only used MongoDB in a couple of homework assignments.,MongoDB,Beginner
Have read the documentation for SQL but limited practical use.,SQL,Beginner
Completed an introductory course in Redis.,Redis,Beginner
Currently learning CI/CD as part of a bootcamp.,CI/CD,Beginner
Optimized performance-critical systems built with Git.,Git,Expert
Used REST API extensively during a semester-long project.,REST API,Intermediate
Architected scalable solutions using CI/CD for enterprise clients.,CI/CD,Expert
Completed an introductory course in Linux.,Linux,Beginner
Started exploring AWS recently.,AWS,Beginner
"Deep expertise in NestJS, including advanced patterns and internals.",NestJS,Expert
Regularly use React for day-to-day development tasks.,React,Intermediate
Led a team building production systems with Tailwind CSS.,Tailwind CSS,Expert
Owned the technical roadmap for a major Git migration.,Git,Expert
Comfortable writing Java code for medium-sized applications.,Java,Intermediate
Studied the fundamentals of MongoDB in class.,MongoDB,Beginner
Only used TypeScript in a couple of homework assignments.,TypeScript,Beginner
Exposed to Django during a university project.,Django,Beginner
Developed features using PHP in a small team.,PHP,Intermediate
Following a beginner course on PyTorch right now.,PyTorch,Beginner
Trained the engineering team on advanced Go concepts.,Go,Expert
Used PyTorch to build a personal project.,PyTorch,Intermediate
Led a team building production systems with Redis.,Redis,Expert
Led a team building production systems with TypeScript.,TypeScript,Expert
Contributed to a project using Django during an internship.,Django,Intermediate
Architected scalable solutions using Machine Learning for enterprise clients.,Machine Learning,Expert
Studied the fundamentals of Flask in class.,Flask,Beginner
Used TensorFlow to build a personal project.,TensorFlow,Intermediate
Have shipped a couple of side projects built with PyTorch.,PyTorch,Intermediate
Mentored junior developers on best practices in PostgreSQL.,PostgreSQL,Expert
Contributed to open-source projects related to JavaScript.,JavaScript,Expert
One year of experience working with PostgreSQL.,PostgreSQL,Intermediate
Following a beginner course on React right now.,React,Beginner
Exposed to Python during a university project.,Python,Beginner
Led a team building production systems with Django.,Django,Expert
Started exploring PHP recently.,PHP,Beginner
Can independently build features using GraphQL with some guidance.,GraphQL,Intermediate
Have shipped a couple of side projects built with Redis.,Redis,Intermediate
"Deep expertise in Linux, including advanced patterns and internals.",Linux,Expert
Contributed to a project using PostgreSQL during an internship.,PostgreSQL,Intermediate
Built a full application using CI/CD.,CI/CD,Intermediate
Following a beginner course on CI/CD right now.,CI/CD,Beginner
Extensive production experience with Redis at scale.,Redis,Expert
Architected scalable solutions using C++ for enterprise clients.,C++,Expert
Two years of hands-on experience with PHP.,PHP,Intermediate
Started exploring Go recently.,Go,Beginner
"Deep expertise in Java, including advanced patterns and internals.",Java,Expert
Owned the technical roadmap for a major TensorFlow migration.,TensorFlow,Expert
Only used Next.js in a couple of homework assignments.,Next.js,Beginner
Mentored junior developers on best practices in CI/CD.,CI/CD,Expert
Extensive production experience with CI/CD at scale.,CI/CD,Expert
Implemented core functionality with Next.js in a group project.,Next.js,Intermediate
Have read the documentation for Tailwind CSS but limited practical use.,Tailwind CSS,Beginner
Regularly use Linux for day-to-day development tasks.,Linux,Intermediate
Regularly use Python for day-to-day development tasks.,Python,Intermediate
Some hands-on experience with Machine Learning in small assignments.,Machine Learning,Beginner
Owned the technical roadmap for a major Python migration.,Python,Expert
One year of experience working with Next.js.,Next.js,Intermediate
Wrote a few small scripts using React.,React,Beginner
Solid working knowledge of Flask from an internship.,Flask,Intermediate
Have shipped a couple of side projects built with Linux.,Linux,Intermediate
Extensive production experience with TensorFlow at scale.,TensorFlow,Expert
Can independently build features using TypeScript with some guidance.,TypeScript,Intermediate
Wrote a few small scripts using Flask.,Flask,Beginner
Familiar with PHP through coursework.,PHP,Beginner
One year of experience working with MongoDB.,MongoDB,Intermediate
Used NestJS extensively during a semester-long project.,NestJS,Intermediate
Basic understanding of C++.,C++,Beginner
Mentored junior developers on best practices in Kubernetes.,Kubernetes,Expert
Used Node.js extensively during a semester-long project.,Node.js,Intermediate
Owned the technical roadmap for a major Linux migration.,Linux,Expert
Extensive production experience with Node.js at scale.,Node.js,Expert
Used REST API to build a personal project.,REST API,Intermediate
Started exploring Deep Learning recently.,Deep Learning,Beginner
Familiar with Tailwind CSS through coursework.,Tailwind CSS,Beginner
Implemented core functionality with Tailwind CSS in a group project.,Tailwind CSS,Intermediate
Beginner-level knowledge of NestJS.,NestJS,Beginner
Used Redis to build a personal project.,Redis,Intermediate
Completed an introductory course in Java.,Java,Beginner
Solid working knowledge of PyTorch from an internship.,PyTorch,Intermediate
Completed an introductory course in Node.js.,Node.js,Beginner
Solid working knowledge of React from an internship.,React,Intermediate
Solid working knowledge of Next.js from an internship.,Next.js,Intermediate
Built a full application using TypeScript.,TypeScript,Intermediate
"Deep expertise in Tailwind CSS, including advanced patterns and internals.",Tailwind CSS,Expert
Built and maintained mission-critical infrastructure with Next.js.,Next.js,Expert
Exposed to Docker during a university project.,Docker,Beginner
Built and maintained mission-critical infrastructure with Deep Learning.,Deep Learning,Expert
Currently learning Redis as part of a bootcamp.,Redis,Beginner
Beginner-level knowledge of Go.,Go,Beginner
Mentored junior developers on best practices in Go.,Go,Expert
Developed features using Kubernetes in a small team.,Kubernetes,Intermediate
Some hands-on experience with Redis in small assignments.,Redis,Beginner
Built and maintained mission-critical infrastructure with REST API.,REST API,Expert
Trained the engineering team on advanced Python concepts.,Python,Expert
Designed the core architecture of a large-scale Django application.,Django,Expert
Regularly use TypeScript for day-to-day development tasks.,TypeScript,Intermediate
Completed an introductory course in SQL.,SQL,Beginner
Recognized internally as the go-to expert on CI/CD.,CI/CD,Expert
Currently learning SQL as part of a bootcamp.,SQL,Beginner
Five years of professional experience with Kubernetes.,Kubernetes,Expert
Have read the documentation for TensorFlow but limited practical use.,TensorFlow,Beginner
Have shipped a couple of side projects built with TensorFlow.,TensorFlow,Intermediate
Started exploring Django recently.,Django,Beginner
Beginner-level knowledge of TypeScript.,TypeScript,Beginner
Owned the technical roadmap for a major Tailwind CSS migration.,Tailwind CSS,Expert
Two years of hands-on experience with Git.,Git,Intermediate
Only used Machine Learning in a couple of homework assignments.,Machine Learning,Beginner
Basic understanding of MongoDB.,MongoDB,Beginner
Familiar with JavaScript through coursework.,JavaScript,Beginner
Two years of hands-on experience with React.,React,Intermediate
Drove major performance improvements in a JavaScript-based system.,JavaScript,Expert
Five years of professional experience with GraphQL.,GraphQL,Expert
Optimized performance-critical systems built with PyTorch.,PyTorch,Expert
Applied NestJS to solve practical problems in coursework.,NestJS,Intermediate
Have shipped a couple of side projects built with Go.,Go,Intermediate
Contributed to open-source projects related to Django.,Django,Expert
Owned the technical roadmap for a major Flask migration.,Flask,Expert
Some hands-on experience with Git in small assignments.,Git,Beginner
Implemented core functionality with Machine Learning in a group project.,Machine Learning,Intermediate
Have read the documentation for Kubernetes but limited practical use.,Kubernetes,Beginner
Built and maintained mission-critical infrastructure with Node.js.,Node.js,Expert
One year of experience working with Machine Learning.,Machine Learning,Intermediate
Following a beginner course on Kubernetes right now.,Kubernetes,Beginner
Optimized performance-critical systems built with SQL.,SQL,Expert
Worked with Tailwind CSS for several months on a team project.,Tailwind CSS,Intermediate
Only used Django in a couple of homework assignments.,Django,Beginner
Extensive production experience with NestJS at scale.,NestJS,Expert
Published technical talks on advanced Node.js techniques.,Node.js,Expert
Solid working knowledge of Java from an internship.,Java,Intermediate
Optimized performance-critical systems built with Go.,Go,Expert
Mentored junior developers on best practices in PyTorch.,PyTorch,Expert
Trained the engineering team on advanced AWS concepts.,AWS,Expert
Two years of hands-on experience with AWS.,AWS,Intermediate
Have read the documentation for GraphQL but limited practical use.,GraphQL,Beginner
Built and maintained mission-critical infrastructure with MongoDB.,MongoDB,Expert
Applied Next.js to solve practical problems in coursework.,Next.js,Intermediate
Solid working knowledge of REST API from an internship.,REST API,Intermediate
Started exploring Next.js recently.,Next.js,Beginner
Contributed to a project using AWS during an internship.,AWS,Intermediate
Regularly use PHP for day-to-day development tasks.,PHP,Intermediate
Implemented core functionality with TypeScript in a group project.,TypeScript,Intermediate
Led a team building production systems with Java.,Java,Expert
Drove major performance improvements in a Django-based system.,Django,Expert
Studied the fundamentals of NestJS in class.,NestJS,Beginner
Can independently build features using C++ with some guidance.,C++,Intermediate
Took an online tutorial on Go.,Go,Beginner
Comfortable writing Django code for medium-sized applications.,Django,Intermediate
Completed an introductory course in Next.js.,Next.js,Beginner
Can independently build features using PHP with some guidance.,PHP,Intermediate
Extensive production experience with Java at scale.,Java,Expert
Designed the core architecture of a large-scale C++ application.,C++,Expert
Optimized performance-critical systems built with Docker.,Docker,Expert
Started exploring React recently.,React,Beginner
Drove major performance improvements in a React-based system.,React,Expert
Drove major performance improvements in a TensorFlow-based system.,TensorFlow,Expert
Worked with Go for several months on a team project.,Go,Intermediate
Studied the fundamentals of Redis in class.,Redis,Beginner
Implemented core functionality with GraphQL in a group project.,GraphQL,Intermediate
Five years of professional experience with NestJS.,NestJS,Expert
Completed an introductory course in AWS.,AWS,Beginner
Developed features using MongoDB in a small team.,MongoDB,Intermediate
Trained the engineering team on advanced PyTorch concepts.,PyTorch,Expert
Comfortable writing Next.js code for medium-sized applications.,Next.js,Intermediate
Only used Deep Learning in a couple of homework assignments.,Deep Learning,Beginner
Led a team building production systems with PostgreSQL.,PostgreSQL,Expert
Exposed to PHP during a university project.,PHP,Beginner
Optimized performance-critical systems built with PHP.,PHP,Expert
Following a beginner course on Java right now.,Java,Beginner
One year of experience working with Tailwind CSS.,Tailwind CSS,Intermediate
Recognized internally as the go-to expert on Django.,Django,Expert
Completed an introductory course in JavaScript.,JavaScript,Beginner
Solid working knowledge of Django from an internship.,Django,Intermediate
Five years of professional experience with Docker.,Docker,Expert
"Deep expertise in PHP, including advanced patterns and internals.",PHP,Expert
Mentored junior developers on best practices in Java.,Java,Expert
Studied the fundamentals of AWS in class.,AWS,Beginner
Have read the documentation for Redis but limited practical use.,Redis,Beginner
Applied React to solve practical problems in coursework.,React,Intermediate
Led a team building production systems with Next.js.,Next.js,Expert
Published technical talks on advanced PyTorch techniques.,PyTorch,Expert
Studied the fundamentals of Python in class.,Python,Beginner
Optimized performance-critical systems built with Node.js.,Node.js,Expert
"New to Machine Learning, still getting comfortable with the basics.",Machine Learning,Beginner
"New to NestJS, still getting comfortable with the basics.",NestJS,Beginner
Solid working knowledge of Tailwind CSS from an internship.,Tailwind CSS,Intermediate
Owned the technical roadmap for a major C++ migration.,C++,Expert
Used Java extensively during a semester-long project.,Java,Intermediate
Some hands-on experience with PostgreSQL in small assignments.,PostgreSQL,Beginner
Applied PHP to solve practical problems in coursework.,PHP,Intermediate
Used SQL to build a personal project.,SQL,Intermediate
Contributed to a project using Git during an internship.,Git,Intermediate
Five years of professional experience with Tailwind CSS.,Tailwind CSS,Expert
Can independently build features using PostgreSQL with some guidance.,PostgreSQL,Intermediate
Exposed to JavaScript during a university project.,JavaScript,Beginner
"New to PyTorch, still getting comfortable with the basics.",PyTorch,Beginner
Basic understanding of Git.,Git,Beginner
Regularly use AWS for day-to-day development tasks.,AWS,Intermediate
Five years of professional experience with Java.,Java,Expert
Led a team building production systems with Flask.,Flask,Expert
Recognized internally as the go-to expert on Java.,Java,Expert
Designed the core architecture of a large-scale GraphQL application.,GraphQL,Expert
"New to SQL, still getting comfortable with the basics.",SQL,Beginner
Applied PostgreSQL to solve practical problems in coursework.,PostgreSQL,Intermediate
Basic understanding of Tailwind CSS.,Tailwind CSS,Beginner
Beginner-level knowledge of TensorFlow.,TensorFlow,Beginner
Developed features using TensorFlow in a small team.,TensorFlow,Intermediate
Drove major performance improvements in a SQL-based system.,SQL,Expert
Designed the core architecture of a large-scale Git application.,Git,Expert
Currently learning Node.js as part of a bootcamp.,Node.js,Beginner
Drove major performance improvements in a CI/CD-based system.,CI/CD,Expert
Optimized performance-critical systems built with Tailwind CSS.,Tailwind CSS,Expert
Used NestJS to build a personal project.,NestJS,Intermediate
Two years of hands-on experience with TypeScript.,TypeScript,Intermediate
Familiar with TypeScript through coursework.,TypeScript,Beginner
"New to Docker, still getting comfortable with the basics.",Docker,Beginner
Took an online tutorial on Flask.,Flask,Beginner
Solid working knowledge of PostgreSQL from an internship.,PostgreSQL,Intermediate
"Deep expertise in Django, including advanced patterns and internals.",Django,Expert
Built a full application using Java.,Java,Intermediate
Worked with SQL for several months on a team project.,SQL,Intermediate
Comfortable writing Docker code for medium-sized applications.,Docker,Intermediate
Comfortable writing AWS code for medium-sized applications.,AWS,Intermediate
Led a team building production systems with Python.,Python,Expert
Studied the fundamentals of Machine Learning in class.,Machine Learning,Beginner
Recognized internally as the go-to expert on Next.js.,Next.js,Expert
Owned the technical roadmap for a major GraphQL migration.,GraphQL,Expert
